label,r_mean,g_mean,b_mean,r_var,g_var,b_var,r_skew,g_skew,b_skew,r_kurt,g_kurt,b_kurt,r_entropy,g_entropy,b_entropy,major_axis,minor_axis,area,perimeter,roundness,aspect_ration
Arborio,28.017248,26.986144,26.962016,5391.593206506496,5031.435488011265,5021.692413215744,2.3263463027913165,2.3331620338522243,2.33136068097491,3.459328855013756,3.5019636017484643,3.490206115642522,9.05092411282226,9.042255147341319,9.041803054915214,67.79056549072266,145.64840698242188,7487.5,366.83556735515594,0.6992038731849971,0.4654398005115443
Arborio,27.137344,26.529808,26.615808,5174.772528625664,4971.023063483136,5000.893996507134,2.3627770046991903,2.365935161577787,2.3651445612755446,3.6289344340040977,3.6473818480438736,3.6423824019432027,9.033595475458252,9.025357215048155,9.025943613248321,71.28256225585938,135.13003540039062,7330.5,347.86500465869904,0.7612406660440575,0.5275108679180684
Arborio,28.590624,27.867296,27.810528,5370.777179290624,5133.038261648383,5108.096868361216,2.2698549703402984,2.2760988141755885,2.2741523216910204,3.231108148573102,3.2680993236351092,3.2562930522565807,9.090348396060739,9.081463446932075,9.082135483659417,74.73358917236328,137.33572387695312,7828.0,361.2792184352875,0.7536587046591621,0.544167147939755
Arborio,24.557824,23.97112,23.998688,4448.985824385023,4256.550573945601,4266.469054278655,2.4457420959982414,2.4500997751093623,2.4486327120080826,4.043251335525041,4.071356058528453,4.061160677051892,8.994658288275305,8.98806655950024,8.98741373709412,68.18797302246094,133.01585388183594,7017.5,350.634556889534,0.7172703085492644,0.512630419852324
Arborio,27.252464,26.346576,26.312128,5404.333525928703,5096.904509076225,5079.458384111616,2.42478621232278,2.432800049536056,2.4310234154545003,3.9303449468522755,3.9786795243995376,3.9673623899688275,9.007566882956505,8.99380295292758,8.994570185248973,70.3448486328125,132.96728515625,7086.5,350.97770178318024,0.7229072890539563,0.5290387673189701
Arborio,29.747248,28.427568,28.167664,5878.838020426495,5405.381681605374,5306.807456783103,2.2824302722931344,2.2888089039565913,2.288114879955541,3.2670661746500773,3.3050851993193167,3.300415601544607,9.081752952727786,9.071781728159833,9.071664581978906,72.10648345947266,138.9059295654297,7724.5,359.889390707016,0.7494491187368368,0.5191029906718843
Arborio,19.23856,18.118096,18.1696,3615.0585451264,3227.176757334784,3244.6774758399997,2.942188821493694,2.946360093556998,2.945087380468243,6.725812476164995,6.7549111785671805,6.74498994010915,8.770102050359682,8.759339812806122,8.759276083392916,58.096378326416016,118.32193756103516,5339.0,304.10764586925507,0.7254627306893097,0.49100259448039885
Arborio,29.68608,29.361424,29.390944,5768.062510233601,5668.3666046922235,5677.612314788864,2.265140489550623,2.2707648313826154,2.2698584389563856,3.2153653474119395,3.249170049591716,3.243686187051039,9.092490214124183,9.086079549974574,9.08638747451837,69.96392059326172,145.19476318359375,7872.0,376.4751765727997,0.6979466999237586,0.4818625621145493
Arborio,28.685104,29.953824,30.428416,5039.225784509184,5515.595531777024,5692.585675730945,2.1502787156159298,2.1539252174910133,2.1549413300590947,2.66483377395875,2.68342841012267,2.6895081579789952,9.146211937424198,9.140756294055667,9.140786379046508,73.83132934570312,145.6637725830078,8308.0,372.61731243133545,0.7519349887383,0.5068613014511187
Arborio,25.25184,24.377632,24.468144,4908.7331526144,4609.581074072575,4642.686457195264,2.5297510566113828,2.540160525103319,2.5400921726782797,4.494221062158828,4.564755633371719,4.5645941083399295,8.963740995069495,8.95295200871944,8.953263143624001,65.97480773925781,138.8654327392578,6751.0,344.3330405950546,0.7155180218213901,0.47509885244901895
