"D23" "T194"
"D9" "T270"
"D3" "T47"
"D49" "T222"
"D37" "T28"
"D9" "T13"
"D17" "T152"
"D54" "T348"
"D59" "T78"
"D2" "T334"
"D52" "T254"
"D9" "T21"
"D54" "T40"
"D40" "T421"
"D25" "T156"
"D23" "T40"
"D2" "T388"
"D53" "T164"
"D26" "T118"
"D29" "T388"
"D17" "T146"
"D19" "T146"
"D43" "T388"
"D39" "T357"
"D33" "T326"
"D18" "T47"
"D1" "T324"
"D48" "T146"
"D20" "T313"
"D38" "T222"
"D61" "T146"
"D37" "T331"
"D25" "T308"
"D20" "T183"
"D52" "T78"
"D9" "T237"
"D44" "T365"
"D65" "T270"
"D13" "T283"
"D40" "T359"
"D23" "T270"
"D47" "T20"
"D35" "T62"
"D64" "T28"
"D65" "T334"
"D66" "T20"
"D26" "T183"
"D25" "T386"
"D26" "T178"
"D4" "T365"
"D18" "T66"
"D27" "T152"
"D4" "T78"
"D61" "T78"
"D22" "T331"
"D51" "T264"
"D47" "T413"
"D4" "T13"
"D25" "T264"
"D22" "T365"
"D33" "T372"
"D56" "T222"
"D17" "T365"
"D46" "T296"
"D40" "T237"
"D20" "T28"
"D18" "T40"
"D49" "T306"
"D67" "T374"
"D16" "T267"
"D6" "T232"
"D29" "T156"
"D33" "T357"
"D21" "T20"
"D46" "T270"
"D34" "T177"
"D21" "T365"
"D44" "T256"
"D65" "T78"
"D14" "T256"
"D25" "T270"
"D17" "T62"
"D2" "T164"
"D61" "T386"
"D21" "T222"
"D41" "T13"
"D29" "T349"
"D32" "T254"
"D29" "T357"
"D21" "T21"
"D2" "T299"
"D53" "T62"
"D29" "T200"
"D52" "T183"
"D50" "T421"
"D43" "T242"
"D43" "T256"
"D64" "T232"
"D24" "T374"
"D13" "T256"
"D22" "T242"
"D58" "T357"
"D52" "T28"
"D26" "T164"
"D9" "T365"
"D58" "T421"
"D35" "T349"
"D14" "T78"
"D32" "T118"
"D18" "T299"
"D34" "T270"
"D34" "T256"
"D36" "T308"
"D40" "T300"
"D11" "T232"
"D21" "T334"
"D6" "T200"
"D47" "T194"
"D16" "T426"
"D63" "T408"
"D21" "T40"
"D37" "T194"
"D1" "T118"
"D27" "T29"
"D5" "T177"
"D36" "T40"
"D64" "T299"
"D61" "T357"
"D17" "T413"
"D18" "T421"
